#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
23368751|2019-11-01T23:27:54.040000|38.746|15.583|160.2|BULLETIN-INGV||||ML|2.1|--|Tirreno Meridionale (MARE)
23368981|2019-11-02T01:39:11.150000|39.7197|15.4513|10.0|BULLETIN-INGV||||ML|2.0|--|Tirreno Meridionale (MARE)
23369441|2019-11-02T04:28:58.460000|43.1408|10.8657|5.8|BULLETIN-INGV||||ML|2.1|--|1 km SE Monterotondo Marittimo (GR)
23369421|2019-11-02T04:29:14.780000|43.1568|10.8703|6.0|BULLETIN-INGV||||ML|2.1|--|2 km NE Monterotondo Marittimo (GR)
23369781|2019-11-02T05:48:32.700000|43.1402|10.863|7.3|BULLETIN-INGV||||ML|2.1|--|1 km SE Monterotondo Marittimo (GR)
23370191|2019-11-02T08:07:13.580000|38.5897|15.309|200.9|BULLETIN-INGV||||ML|2.0|--|Isole Eolie (Messina)
23376891|2019-11-03T08:07:58.090000|42.4462|12.6303|10.6|BULLETIN-INGV||||ML|2.2|--|3 km NW Configni (RI)
23379181|2019-11-03T14:02:05.370000|44.3222|9.6968|13.4|BULLETIN-INGV||||ML|2.0|--|3 km NE Sesta Godano (SP)
23381501|2019-11-03T18:55:10.280000|37.2412|14.4705|22.3|BULLETIN-INGV||||ML|2.4|--|4 km W Caltagirone (CT)
23382641|2019-11-03T22:00:22.370000|43.3927|12.6382|10.5|BULLETIN-INGV||||ML|2.0|--|3 km W Scheggia e Pascelupo (PG)
23383621|2019-11-04T02:58:35.840000|40.695|15.4558|16.1|BULLETIN-INGV||||ML|2.6|--|4 km NW Ricigliano (SA)
23383751|2019-11-04T04:10:09.920000|41.7122|15.9435|21.9|BULLETIN-INGV||||ML|2.3|--|1 km W Monte Sant'Angelo (FG)
23386511|2019-11-04T11:01:34.490000|42.5748|13.1802|12.2|BULLETIN-INGV||||ML|2.2|--|5 km SE Cittareale (RI)
